"Timestamp","1.1. Das Spiel war visuell ansprechend","1.2. Das Spiel hat Spaß gemacht","1.3. Ich habe das Ziel des Spiels verstanden","2.1. Ich würde das Spiel wieder spielen","2.2. Ich fand das Spiel unnötig kompliziert","2.3. Die Interaktion mit dem Spiel war einfach zu verstehen","2.4. Ich brauche eine Erklärung der Entwickler um das Spiel zu verstehen","2.5. Das Spiel ist einfach zu verstehen","2.6. Die Interaktion mit dem Spiel war konsistent","2.7. Ich denke das Spiel wäre für andere einfach zu verstehen","3.1. Ich verstehe durch das Spiel besser was ein vernetztes System ist","3.2. Die Natur ist ein wichtiges vernetztes System","3.3. Die Interaktion in der Natur ist im Spiel gut dargestellt","4.1. Ich fand die Interaktionspunkte einfach zu verwenden","4.2. Es gab zu wenige Interaktionsmöglichkeiten im Spiel","4.3. Ich fand die Benutzeroberfläche schön","4.4. Ich fand das Spiel schön","Willst du uns noch irgendetwas sagen?"
"2022/07/22 10:21:14 am EET","5","5","1","5","4","4","3","2","3","2","4","4","4","3","5","5","5","Arsch geile Nummer"
"2022/07/22 10:21:29 am EET","5","4","5","3","1","5","1","5","5","5","4","5","5","5","1","5","5",""
"2022/07/22 10:21:47 am EET","4","5","5","4","2","4","2","5","4","5","5","5","5","4","4","4","4","Babba Spiel bres"
"2022/07/22 10:22:07 am EET","4","3","5","3","2","5","1","5","3","5","4","5","3","3","4","3","4",""
"2022/07/22 10:22:20 am EET","5","5","4","5","1","4","2","5","4","5","5","4","5","5","2","4","5","Sau geil, machts weiter so! Ich trink a gustl auf euch"
"2022/07/22 10:22:23 am EET","3","4","5","3","1","5","2","4","3","5","5","4","4","4","2","4","4","Bei Lv 2 ist zu Beginn keine kleine Pflanze gegeben, deshalb ist es nicht möglich, dass die Wühlmaus und der Mistkäfer überleben können.
Oder es ist halt ein User error in diesem Fall sorry. 
Ihr habt das schön gemacht, Respekt."
"2022/07/22 10:22:34 am EET","4","5","5","5","1","4","1","4","4","4","5","5","5","4","3","5","5",""
"2022/07/22 10:22:37 am EET","5","4","4","5","1","4","2","5","4","4","4","5","5","5","5","5","5","Evtl genauer anzeigen warum das Lebewesen gestorben ist.
Aber top Spiel, hat wirklich Spaß gemacht. Weiter so :)"
"2022/07/22 10:23:01 am EET","3","4","5","2","2","5","1","5","5","5","5","5","4","5","2","3","3",""
"2022/07/22 10:23:06 am EET","3","4","3","4","2","5","2","4","4","4","2","5","3","4","4","4","3",""
"2022/07/22 10:23:34 am EET","4","5","5","5","2","4","2","3","5","4","4","5","4","4","3","4","5",""
"2022/07/22 10:23:54 am EET","4","3","5","4","2","4","3","4","3","4","4","5","4","4","2","4","5","baba goil swaggo yolo"
"2022/07/22 10:24:04 am EET","4","4","4","3","1","3","2","4","5","4","5","4","4","4","3","5","5","Öfters neue Tiere bekommen auch wenn man sie zu Beginn getötet hat. "
"2022/07/22 10:24:10 am EET","4","5","4","3","2","4","2","5","4","5","4","4","5","4","2","3","4","An sich eine gute Idee. Das Gameplay hat auch sehr Spaß gemacht, jedoch kam ein Bug auf mit welchem man die ganze Zeit gewonnen hat."
"2022/07/22 10:24:13 am EET","4","5","5","4","1","5","1","5","5","5","3","5","3","5","3","4","4","Bug: Einfach (fast) alles auf eine Platte setzen kann zum Sieg führen, dafür tauchen keine weiteren Karten auf. Neustart hilft aber.
Prinzipiell aber trotzdem ganz lustig. "
"2022/07/22 10:24:48 am EET","2","3","5","3","2","4","2","4","3","4","4","5","4","5","4","3","3","Wäre schön wenn man im Lexikon gleich zwischen den verschiedenen Karten hin und her wechseln könnte und nicht immer wieder auf Back klicken muss :)"
"2022/07/22 10:25:24 am EET","5","3","5","4","2","3","4","3","3","4","4","5","4","3","3","5","5",""
"2022/07/22 10:26:49 am EET","2","4","5","4","1","3","2","4","4","3","4","4","3","4","2","4","4","Die Idee war an sich gut aber das spiel könnte eindeutig verbessert werden "
"2022/07/22 10:27:27 am EET","3","4","5","4","2","3","2","4","4","4","5","5","4","3","3","4","4","Hab manchmal nicht ganz verstanden warum die ganzen viecher so schnell abgekratzt sind, wär ganz gut gewesen wenn  da sone Meldung kommt warum die sterben und was man dagegen machen kann wenns des gab hab ichs net gfunden , aber die map sah baba aus so Dschungel mit Löwe wär noch gut"
"2022/07/22 10:27:33 am EET","3","4","4","3","2","3","2","4","3","4","4","5","4","5","1","4","3",""
"2022/07/22 10:28:12 am EET","3","2","4","2","2","2","4","2","2","2","4","5","3","5","4","2","4","Ich fänds gut wenn  links angezeigt wird an was was gestorben is und außerdem muss der timer von der Brutzeit runter oder die leben hoch bei mir wars bei 3 Level jetz so dass ich am ende nur gräser hatte weil alle Viecher ausgestorben sind  an sich is es ganz gut aber man sollte am besten mehr anzeigen lassen was passiert "
"2022/07/22 12:01:37 pm EET","5","4","3","3","1","3","4","3","4","4","4","5","4","3","2","5","3",""
"2022/07/22 12:02:08 pm EET","5","4","5","4","1","5","3","5","4","5","5","5","5","4","5","3","5",""
"2022/07/22 12:02:31 pm EET","3","4","5","4","1","4","3","5","5","4","4","5","2","5","2","3","4",""
"2022/07/22 12:02:33 pm EET","5","4","5","4","1","5","3","5","4","5","5","5","4","5","2","4","5",""
"2022/07/22 12:03:10 pm EET","4","4","5","4","1","4","2","5","3","5","3","5","2","4","2","4","5","Das spiel ist ausbau fähig, aber sehr schön"
